Date,AAPL,AMD,AMT,AMZN,BAC,CAT,CSCO,CVX,DUK,F,GOOG,HOG,HON,HPQ,IBM,JNJ,JPM,KO,MS,MSFT,NEE,NVDA,PFE,PG,PLD,SONY,T,UNH,VZ,XOM
11/01/2022,148.83535766601562,59.65999984741211,193.014892578125,96.79000091552734,34.03670120239258,209.96694946289062,42.42837142944336,166.79933166503906,85.37722778320312,11.21622085571289,90.17598724365234,42.2792854309082,193.6094970703125,25.7526798248291,125.57038879394531,161.7926788330078,120.91388702392578,55.707393646240234,77.76488494873047,223.85508728027344,73.06651306152344,13.529695510864258,42.21488571166992,127.56758117675781,101.56293487548828,14.462732315063477,15.989258766174316,529.2489624023438,32.069881439208984,103.81000518798828
11/02/2022,143.28306579589844,58.630001068115234,190.51724243164062,92.12000274658203,33.93327713012695,206.16160583496094,41.59772872924805,163.39413452148438,84.59394836425781,10.931631088256836,86.75827026367188,41.7133903503418,191.10240173339844,24.94820213317871,124.32559204101562,159.30630493164062,119.80052185058594,54.93212890625,78.36865997314453,215.93768310546875,72.66221618652344,13.206012725830078,41.38835906982422,125.73274993896484,99.86943054199219,13.946834564208984,16.058969497680664,525.4970703125,32.36166763305664,101.67647552490234
11/03/2022,137.20713806152344,60.11000061035156,186.93328857421875,89.30000305175781,33.74522018432617,210.69728088378906,40.925743103027344,165.80157470703125,84.90361022949219,11.099038124084473,83.19107818603516,42.81641387939453,194.8392333984375,24.652297973632812,122.18125915527344,159.57737731933594,120.01753234863281,54.90410232543945,77.67198944091797,210.1983184814453,73.50843811035156,13.407814025878906,41.29966354370117,124.87210083007812,101.05769348144531,14.095349311828613,15.832418441772461,525.6710815429688,31.881092071533203,103.05862426757812
11/04/2022,136.93995666503906,62.189998626708984,189.3380584716797,90.9800033569336,34.5914421081543,218.95179748535156,41.551063537597656,167.89779663085938,85.25881958007812,11.308294296264648,86.38958740234375,43.497398376464844,198.13754272460938,26.159549713134766,124.44373321533203,160.2877655029297,123.301025390625,55.35245895385742,78.81449890136719,217.20330810546875,74.09138488769531,14.14209270477295,41.8761100769043,127.15142059326172,100.69279479980469,14.57607364654541,15.963122367858887,520.4105224609375,31.958328247070312,104.18103790283203
11/07/2022,137.47433471679688,63.08000183105469,187.57394409179688,90.52999877929688,34.79829025268555,219.68212890625,41.579063415527344,169.90245056152344,84.00193786621094,11.467331886291504,88.3326187133789,43.71800994873047,199.9678192138672,26.58490753173828,125.69757843017578,161.6898651123047,123.95207977294922,55.56729507446289,79.48329162597656,223.5607452392578,72.6716079711914,14.28695011138916,41.76081848144531,129.09974670410156,101.91847229003906,14.753902435302734,15.997971534729004,527.0345458984375,31.91541862487793,105.41478729248047
11/08/2022,138.04830932617188,63.849998474121094,188.50241088867188,89.9800033569336,34.89231872558594,220.8352508544922,41.63506317138672,169.65528869628906,84.8853988647461,11.4840726852417,88.59168243408203,43.57414245605469,201.48353576660156,26.67737579345703,127.24224090576172,162.49375915527344,124.02755737304688,55.67003631591797,79.21392059326172,224.54183959960938,73.59304809570312,14.587656021118164,41.99139404296875,129.3929443359375,102.6856918334961,15.009897232055664,16.18095588684082,534.799560546875,32.49897003173828,105.74871826171875
11/09/2022,133.46646118164062,59.91999816894531,186.6640167236328,86.13999938964844,34.33757400512695,216.73199462890625,40.98173904418945,162.87237548828125,85.11309814453125,11.140889167785645,87.08708953857422,42.845184326171875,199.85501098632812,25.70644760131836,126.32281494140625,161.19447326660156,122.41411590576172,54.89476776123047,77.51409149169922,220.26426696777344,73.52723693847656,13.762467384338379,41.43269729614258,129.08082580566406,101.78748321533203,14.749993324279785,16.01540184020996,522.8184814453125,32.2844352722168,101.01786041259766
11/10/2022,145.34161376953125,68.47000122070312,205.10386657714844,96.62999725341797,35.85136795043945,223.3721466064453,42.61503219604492,165.9571990966797,88.43746948242188,11.869107246398926,93.83284759521484,45.23346710205078,205.76553344726562,27.093486785888672,129.8534698486328,163.08262634277344,127.45257568359375,56.86563491821289,82.4835433959961,238.38499450683594,78.22846984863281,15.734528541564941,42.01799774169922,133.52601623535156,110.7227783203125,15.73098087310791,16.41621971130371,526.2125244140625,33.05678939819336,102.50206756591797
11/11/2022,148.1421356201172,72.37000274658203,207.29510498046875,100.79000091552734,36.114627838134766,227.25439453125,41.80305099487305,170.68051147460938,86.67964172363281,12.136955261230469,96.3836898803711,46.269344329833984,203.78256225585938,28.249353408813477,131.63722229003906,158.20330810546875,127.66017150878906,57.27662658691406,84.32269287109375,242.43690490722656,78.3318862915039,16.31096076965332,42.21310043334961,133.32742309570312,108.65502166748047,16.23710823059082,16.59920310974121,504.8515319824219,32.86798858642578,105.70233917236328
11/14/2022,146.73692321777344,73.52999877929688,199.9785919189453,98.48999786376953,35.50347137451172,227.26397705078125,41.75639343261719,170.7628936767578,86.9346694946289,11.891679763793945,95.68618774414062,45.95282745361328,204.04122924804688,28.13839340209961,132.584228515625,160.68971252441406,126.34864807128906,56.725528717041016,83.42169189453125,236.98208618164062,76.7804946899414,16.278987884521484,43.667503356933594,133.3368682861328,105.25868225097656,16.106178283691406,16.60791778564453,496.79644775390625,32.87657165527344,106.01092529296875
