Date,AAPL,AMD,AMT,AMZN,BAC,CAT,CSCO,CVX,DUK,F,GOOG,HOG,HON,HPQ,IBM,JNJ,JPM,KO,MS,MSFT,NEE,NVDA,PFE,PG,PLD,SONY,T,UNH,VZ,XOM
11/01/2021,146.3456573486328,125.2300033569336,255.8459930419922,165.90550231933594,44.01198196411133,192.82664489746094,50.765357971191406,100.81019592285156,89.72332763671875,14.628772735595703,143.25926208496094,37.55351638793945,205.36306762695312,28.07119369506836,104.36404418945312,148.4647674560547,155.30999755859375,50.925079345703125,93.31857299804688,320.4574890136719,78.8458251953125,25.78095817565918,37.15776443481445,131.63888549804688,132.38905334472656,23.300996780395508,15.53854751586914,433.4945373535156,43.08190155029297,58.24538803100586
11/02/2021,147.38706970214844,127.62999725341797,256.3448791503906,165.6374969482422,44.039581298828125,194.4602508544922,52.14082336425781,100.19406127929688,89.84612274169922,14.677671432495117,145.34078979492188,36.27027893066406,206.69940185546875,27.85560417175293,104.28138732910156,150.80531311035156,155.92288208007812,50.86161804199219,93.9107894897461,324.1156921386719,78.68923950195312,26.35393714904785,38.69890213012695,132.94935607910156,134.492919921875,23.70075225830078,15.452799797058105,431.5185241699219,42.77272033691406,57.52653503417969
11/03/2021,148.83128356933594,130.52999877929688,254.4856719970703,169.1999969482422,44.49026870727539,191.1085205078125,52.167972564697266,99.47228240966797,89.92503356933594,15.182952880859375,146.2644500732422,37.03456115722656,208.20394897460938,28.07119369506836,105.06653594970703,150.32264709472656,155.97772216796875,51.03387451171875,92.07132720947266,324.962158203125,78.52339935302734,26.55058479309082,38.162479400634766,133.86300659179688,135.06005859375,23.666154861450195,15.4221773147583,436.56842041015625,43.073768615722656,56.73667526245117
11/04/2021,148.31057739257812,137.5,252.9892120361328,173.85000610351562,43.53369140625,191.14605712890625,51.68836975097656,99.91238403320312,88.592041015625,15.826783180236816,148.1506805419922,35.656978607177734,207.91419982910156,28.143056869506836,104.47074890136719,149.90371704101562,153.9288787841797,51.31492614746094,89.54096221923828,327.33612060546875,78.08124542236328,29.74787712097168,37.66429138183594,134.11219787597656,135.26129150390625,23.571983337402344,15.189437866210938,436.02423095703125,42.18690490722656,57.16267776489258
11/05/2021,148.8418731689453,136.33999633789062,251.97340393066406,175.94949340820312,43.20255661010742,193.29608154296875,51.64311599731445,100.99504089355469,89.17083740234375,15.72083854675293,148.70668029785156,35.95890808105469,211.25035095214844,28.69998550415039,106.8566665649414,148.83816528320312,153.7093505859375,51.53251647949219,89.61274719238281,326.9664001464844,78.7905502319336,29.698965072631836,41.75282669067383,134.7766571044922,134.1819305419922,23.68153190612793,15.373178482055664,435.11737060546875,42.50422286987305,57.70402526855469
11/08/2021,148.01541137695312,150.16000366210938,252.81687927246094,174.44900512695312,43.542884826660156,201.1544952392578,51.57978057861328,101.35592651367188,88.94281005859375,16.421714782714844,148.8167724609375,35.7230224609375,210.9419708251953,28.385589599609375,107.66061401367188,148.32815551757812,154.6331787109375,51.07014083862305,89.79219055175781,327.8711853027344,77.92462921142578,30.74909019470215,41.51232147216797,133.7707061767578,135.4442596435547,23.70651626586914,15.238432884216309,441.6182556152344,42.577457427978516,58.32526779174805
11/09/2021,148.3794403076172,148.9199981689453,253.8689422607422,178.81149291992188,43.11978530883789,196.98585510253906,51.977928161621094,102.1041259765625,89.4164047241211,16.39726448059082,148.7141571044922,35.543739318847656,212.82965087890625,28.538297653198242,105.86482238769531,148.00030517578125,153.46240234375,51.2151985168457,89.46917724609375,326.859375,78.24706268310547,30.602346420288086,40.62762451171875,134.17678833007812,135.79183959960938,23.53738784790039,15.13431167602539,443.269775390625,42.50422286987305,58.893253326416016
11/10/2021,145.53599548339844,139.8699951171875,250.20494079589844,174.1024932861328,43.441707611083984,194.03778076171875,52.27655792236328,100.4757308959961,89.98755645751953,15.777885437011719,146.10104370117188,35.06253433227539,211.55323791503906,28.313724517822266,105.31293487548828,149.60317993164062,153.3160400390625,51.42372512817383,87.7284164428711,321.84869384765625,78.48655700683594,29.406484603881836,42.10498809814453,135.49652099609375,136.0845947265625,23.34135627746582,15.281307220458984,439.0217590332031,42.79712677001953,57.73301696777344
11/11/2021,145.48681640625,146.00999450683594,247.12135314941406,173.625,43.68085861206055,195.7841033935547,51.36259460449219,100.4845199584961,88.77437591552734,15.93272876739502,146.2226104736328,35.56261444091797,207.4237060546875,28.4664306640625,105.35675048828125,148.501220703125,153.30690002441406,51.44185256958008,88.72441864013672,323.4346618652344,78.64315795898438,30.335826873779297,43.10136032104492,135.10891723632812,136.21263122558594,23.254871368408203,15.262932777404785,436.6257629394531,42.675086975097656,57.8409423828125
11/12/2021,147.5726318359375,147.88999938964844,246.77670288085938,176.25750732421875,43.147377014160156,196.47889709472656,51.416893005371094,100.546142578125,88.44673156738281,15.891982078552246,149.10972595214844,36.22311019897461,208.71888732910156,28.583209991455078,104.20918273925781,150.277099609375,152.62094116210938,51.32398986816406,89.59480285644531,327.6085510253906,79.50910186767578,30.335826873779297,42.71483612060547,135.25657653808594,136.1211700439453,23.620031356811523,15.275184631347656,438.1529846191406,42.58559036254883,57.40023422241211
